id,brand,model,year,price,distance,location,was_in_accident,img_url
1859010,Mitsubishi,ASX,2021,27807,0,Черновцы,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-asx__1201950-341x224x60.jpg
1860335,Mitsubishi,ASX,2021,27807,0,Черновцы,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-asx__1215534-341x224x60.jpg
31160849,Mercedes-Benz,Sprinter 316 пас.,2020,46700,18,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/mercedes-benz_sprinter-316-pass__417056872bx.jpg
31158680,BMW,X5,2010,17000,216,Чернівці,true,https://cdn0.riastatic.com/photosnew/auto/photo/bmw_x5__417000900bx.jpg
31157810,Opel,Vivaro пасс.,2012,12950,237,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/opel_vivaro-pass__416985908bx.jpg
31147840,Mercedes-Benz,Vito 116,2013,23700,186,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/mercedes-benz_vito-116__416710212bx.jpg
31145848,Hyundai,i10,2013,8500,104,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/hyundai_i10__416668234bx.jpg
30630451,Mercedes-Benz,Vito 113,2012,13050,211,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/mercedes-benz_vito-113__405759432bx.jpg
31133298,Renault,Trafic пасс.,2018,19250,146,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/renault_trafic-pass__416388971bx.jpg
28972407,Audi,A4,2015,14800,227,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/audi_a4__390205531bx.jpg
31131804,BMW,320,2003,6600,230,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/bmw_320__416358066bx.jpg
27129141,Renault,Megane Scenic,2004,4300,205,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/renault_megane-scenic__415970539bx.jpg
31125465,Mercedes-Benz,Vito 108,2001,3600,500,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/mercedes-benz_vito-108__416425935bx.jpg
31124910,Land Rover,Discovery Sport,2018,29800,106,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/land-rover_discovery-sport__416187641bx.jpg
31090855,Mitsubishi,Pajero Sport,2008,12100,256,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/mitsubishi_pajero-sport__415446602bx.jpg
31036822,BMW,320,2002,5700,324,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/bmw_320__414253045bx.jpg
31001325,Volkswagen,Passat B8,2017,20500,207,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/volkswagen_passat-b8__415885035bx.jpg
30834646,Audi,A4,2016,22900,225,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/audi_a4__409756888bx.jpg
30710177,Volkswagen,Golf VI,2011,7999,253,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/volkswagen_golf-vi__407186287bx.jpg
31157886,Opel,Zafira,2003,3999,333,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/opel_zafira__416986019bx.jpg
30884562,Toyota,RAV4,2019,32500,27,Чернівці,true,https://cdn4.riastatic.com/photosnew/auto/photo/toyota_rav4__410854524bx.jpg
31152790,Renault,Megane,2005,6550,270,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/renault_megane__416819118bx.jpg
31144490,Mercedes-Benz,E 220,2006,7500,470,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/mercedes-benz_e-220__416639845bx.jpg
31143450,Volkswagen,Tiguan,2013,19999,30,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/volkswagen_tiguan__416613239bx.jpg
30614660,Mazda,6,2002,4100,340,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/mazda_6__405453203bx.jpg
